segment,property_key,address,property_name,organization,tower_status,tower_lifecycle_events,recent_tower_lifecycle_events_365d,commercial_disposition,latest_source_event_date,latest_recent_permit_activity_date,permit_project_keys,recent_permit_project_keys_365d,renewal_priorities,property_management_company,property_type,confirmed_storeys,confirmed_units,year_built,air_conditioning_type,explicit_tower_evidence_descriptions,explicit_tower_source_urls
RECENT_INSTALL_OR_ADD_TOWER,toronto-geoid:20362101,620 DUNDAS ST E,,,CONFIRMED,INSTALL_OR_ADD_TOWER,INSTALL_OR_ADD_TOWER,NEW_OR_EXPANDED_TOWER_SIGNAL,2026-08-21,2026-08-21,toronto-permit:26 102675 MSA | toronto-permit:26 102725 PSA,toronto-permit:26 102675 MSA | toronto-permit:26 102725 PSA,,,,,,,,"The installation of two 5500 MBH condensing gas-fired boilers, one 1500 ton chiller and cooling towers, and ancillary equipment in the penthouse mechanical room. Additionally, the installation of pressure break heat exchangers in the P1 level, as well as distribution pumps and piping to interconnect with RPEI's existing district energy system. | HVAC: Other Group C Buildings | Mechanical(MS) | Apartment Building | Apartment Building | Apartment Building || The installation of two 5500 MBH condensing gas-fired boilers, one 1500 ton chiller and cooling towers, and ancillary equipment in the penthouse mechanical room. Additionally, the installation of pressure break heat exchangers in the P1 level, as well as distribution pumps and piping to interconnect with RPEI's existing district energy system. | Other(PS) | Plumbing(PS) | Apartment Building | Apartment Building | Apartment Building || Rev 01The installation of two 5500 MBH condensing gas-fired boilers, one 1500 ton chiller and cooling towers, and ancillary equipment in the penthouse mechanical room. Additionally, the installation of pressure break heat exchangers in the P1 level, as well as distribution pumps and piping to interconnect with RPEI's existing district energy system. | Other(PS) | Plumbing(PS) | Apartment Building | Apartment Building | Apartment Building",https://open.toronto.ca/dataset/building-permits-active-permits/ || https://open.toronto.ca/dataset/building-permits-active-permits/ || https://open.toronto.ca/dataset/building-permits-active-permits/
RECENT_INSTALL_OR_ADD_TOWER,toronto-address:e594fd4f2a055b06,50 OAK ST,,,CONFIRMED,INSTALL_OR_ADD_TOWER,INSTALL_OR_ADD_TOWER,NEW_OR_EXPANDED_TOWER_SIGNAL,2026-02-09,2026-02-09,toronto-permit:26 102675 MSA,toronto-permit:26 102675 MSA,,,,,,,,"The installation of two 5500 MBH condensing gas-fired boilers, one 1500 ton chiller and cooling towers, and ancillary equipment in the penthouse mechanical room. Additionally, the installation of pressure break heat exchangers in the P1 level, as well as distribution pumps and piping to interconnect with RPEI's existing district energy system. | HVAC: Other Group C Buildings | Mechanical(MS) | Apartment Building | Apartment Building | Apartment Building",https://open.toronto.ca/dataset/building-permits-active-permits/
RECENT_RETIRE_OR_CONVERT_AWAY_FROM_TOWER,toronto-geoid:20055459,50 ROSEHILL AVE,,,CONFIRMED,RETIRE_OR_CONVERT_AWAY_FROM_TOWER,RETIRE_OR_CONVERT_AWAY_FROM_TOWER,VERIFY_RETIREMENT_OR_CONVERSION_NOT_NEW_TOWER_LEAD,2025-09-11,2025-09-11,toronto-permit:25 219194 MSA,toronto-permit:25 219194 MSA,,HOMESTEAD LAND HOLDINGS LIMITED,PRIVATE,23,245,1969,CENTRAL AIR,Proposal for replacement of the water cooled chiller and cooling tower with air cooled chiller | Other(MS) | Mechanical(MS) | Apartment | Apartment | Apartment Building,https://open.toronto.ca/dataset/building-permits-active-permits/
CONFIRMED_TOWER_WITH_RENTSAFE_ACCOUNT_CONTEXT,toronto-geoid:20055459,50 ROSEHILL AVE,,,CONFIRMED,RETIRE_OR_CONVERT_AWAY_FROM_TOWER,RETIRE_OR_CONVERT_AWAY_FROM_TOWER,VERIFY_RETIREMENT_OR_CONVERSION_NOT_NEW_TOWER_LEAD,2025-09-11,2025-09-11,toronto-permit:25 219194 MSA,toronto-permit:25 219194 MSA,,HOMESTEAD LAND HOLDINGS LIMITED,PRIVATE,23,245,1969,CENTRAL AIR,Proposal for replacement of the water cooled chiller and cooling tower with air cooled chiller | Other(MS) | Mechanical(MS) | Apartment | Apartment | Apartment Building,https://open.toronto.ca/dataset/building-permits-active-permits/
CONFIRMED_TOWER_WITH_RENTSAFE_ACCOUNT_CONTEXT,toronto-geoid:8392955,15 SCADDING AVE,,,CONFIRMED,REPLACE_OR_RENEW_TOWER,,CONFIRMED_TOWER_HISTORY_OR_UNDATED_NEED,2010-03-30,,toronto-permit:10 134645 MSA,,,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,9,251,1982,NONE,Proposal to replace the existing rooftop chiller and cooling tower. | Other(MS) | Mechanical(MS) | Multi Use | Same | Multiple Unit Building,https://open.toronto.ca/dataset/building-permits-active-permits/
CONFIRMED_TOWER_WITH_RENTSAFE_ACCOUNT_CONTEXT,toronto-geoid:871468,355 ST CLAIR AVE W,,,CONFIRMED,REPLACE_OR_RENEW_TOWER,,CONFIRMED_TOWER_HISTORY_OR_UNDATED_NEED,2024-10-24,,toronto-permit:21 246868 BLD | toronto-permit:21 246868 HVA | toronto-permit:21 246868 PLB,,,CAPREIT,PRIVATE,24,168,1969,CENTRAL AIR,"Proposal to reduce GHG produced by the exisitng apartment building. Scope of work includes structural work to replace the cooling tower with 3 drycoolers, and replace the existing chiller with a new one in the same location. | Other(BA) | Building Additions/Alterations | Apartment Building | Apartment Building | Apartment Building || HVAC - Proposal to reduce GHG produced by the exisitng apartment building. Scope of work includes structural work to replace the cooling tower with 3 drycoolers, and replace the existing chiller with a new one in the same location. | Building Permit Related(MS) | Mechanical(MS) | Apartment Building | Apartment Building | Apartment Building || Plumbing - Proposal to reduce GHG produced by the exisitng apartment building. Scope of work includes structural work to replace the cooling tower with 3 drycoolers, and replace the existing chiller with a new one in the same location. | Building Permit Related(PS) | Plumbing(PS) | Apartment Building | Apartment Building | Apartment Building",https://open.toronto.ca/dataset/building-permits-cleared-permits/ || https://open.toronto.ca/dataset/building-permits-cleared-permits/ || https://open.toronto.ca/dataset/building-permits-cleared-permits/
CONFIRMED_TOWER_WITH_RENTSAFE_ACCOUNT_CONTEXT,toronto-geoid:8351177,55 THE ESPLANADE,,,CONFIRMED,REPLACE_OR_RENEW_TOWER,,CONFIRMED_TOWER_HISTORY_OR_UNDATED_NEED,2010-03-30,,toronto-permit:10 134639 MSA,,,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,12,166,1983,NONE,Proposal to replace the existing rooftop chiller and cooling tower. | Other(MS) | Mechanical(MS) | Apartment Building | Same | Apartment Building,https://open.toronto.ca/dataset/building-permits-active-permits/
CONFIRMED_TOWER_WITH_RENTSAFE_ACCOUNT_CONTEXT,toronto-geoid:14674985,270 MILAN ST,,,CONFIRMED,REPLACE_OR_RENEW_TOWER,,CONFIRMED_TOWER_HISTORY_OR_UNDATED_NEED,2024-05-13,,toronto-permit:23 147719 MSA,,,ST. JUDE COMMUNITY HOMES,SOCIAL HOUSING,3,30,2005,CENTRAL AIR,Chiller and cooling Tower Replacement | Other(MS) | Mechanical(MS) | Community Housing | Community Housing | Other,https://open.toronto.ca/dataset/building-permits-cleared-permits/
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:3432,"50 Francine Dr, North York, ON, M2H 2G6",A Y Jackson Secondary School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH | MEDIUM,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | Medium,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3432
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:3180,"4505 Jane St, North York, ON, M3N 2K7",Brookview Middle School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| D303012 Chilled Water Systems - Cooling Towers Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3180
