property_key,tower_status,address,property_name,organization,geo_id,equipment_types,commercial_signals,tower_lifecycle_events,recent_tower_lifecycle_events_365d,commercial_disposition,permit_project_keys,recent_permit_project_keys_365d,renewal_priorities,latest_source_event_date,source_active_permit_record,recent_source_active_permit_activity_365d,latest_recent_permit_activity_date,rentsafe,source_keys,evidence_count
tdsb-schno:1924,CONFIRMED,"650 Cosburn Ave, East York, ON, M4C 2V2",East York Collegiate Institute,Toronto District School Board,,"[""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",1
tdsb-schno:2001,CONFIRMED,"544 Horner Ave, Etobicoke, ON, M8W 2C2",Sir Adam Beck Junior School,Toronto District School Board,,"[""chemical_feed"",""chiller"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH"",""MEDIUM""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",3
tdsb-schno:2021,CONFIRMED,"44 Cordova Ave, Etobicoke, ON, M9A 2H5",Islington Junior Middle School,Toronto District School Board,,"[""chemical_feed"",""chiller"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH"",""MEDIUM""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",3
tdsb-schno:2040,CONFIRMED,"1 York Rd, Etobicoke, ON, M9R 3C8",Kingsview Village Junior School,Toronto District School Board,,"[""chemical_feed"",""chiller"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",3
tdsb-schno:2063,CONFIRMED,"85 Mount Olive Dr, Etobicoke, ON, M9V 2C9",Highfield Junior School,Toronto District School Board,,"[""chemical_feed"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",2
tdsb-schno:3127,CONFIRMED,"25 Forest Manor Rd, North York, ON, M2J 1M4",Forest Manor Public School,Toronto District School Board,,"[""chiller"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",2
tdsb-schno:3180,CONFIRMED,"4505 Jane St, North York, ON, M3N 2K7",Brookview Middle School,Toronto District School Board,,"[""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",1
tdsb-schno:3430,CONFIRMED,"100 Princess Ave, North York, ON, M2N 3R7",Earl Haig Secondary School,Toronto District School Board,,"[""chemical_feed"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH"",""MEDIUM""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",2
tdsb-schno:3432,CONFIRMED,"50 Francine Dr, North York, ON, M2H 2G6",A Y Jackson Secondary School,Toronto District School Board,,"[""chemical_feed"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],OWNER_REPORTED_HIGH_RENEWAL_NEED,[],[],"[""HIGH"",""MEDIUM""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",2
tdsb-schno:3448,CONFIRMED,"755 Oakdale Rd, North York, ON, M3N 1W7",Westview Centennial Secondary School,Toronto District School Board,,"[""chemical_feed"",""cooling_tower""]","[""TDSB_COOLING_TOWER_RENEWAL"",""TDSB_RELATED_MECHANICAL_RENEWAL""]",[],[],CONFIRMED_TOWER_HISTORY_OR_UNDATED_NEED,[],[],"[""MEDIUM""]",,False,False,,,"[""tdsb_facility_condition_renewal""]",2
